siteid,sitename,itemid,itemname,itemengname,itemunit,monitormonth,concentration
52,林園,9,非甲烷碳氫化合物,NMHC,ppm,202507,0.03
52,林園,10,風速,WIND_SPEED,m/sec,202507,2.4
52,林園,14,溫度,AMB_TEMP,℃,202507,29.1
52,林園,31,甲烷,CH4,ppm,202507,1.93
52,林園,33,細懸浮微粒,PM2.5,μg/m3,202507,10.7
52,林園,38,相對濕度,RH,%,202507,84
52,林園,143,小時風速值,WS_HR,m/sec,202507,2.1
53,楠梓,1,二氧化硫,SO2,ppb,202507,1.1
53,楠梓,2,一氧化碳,CO,ppm,202507,0.17
53,楠梓,3,臭氧,O3,ppb,202507,22
53,楠梓,4,懸浮微粒,PM10,μg/m3,202507,22
53,楠梓,5,氮氧化物,NOx,ppb,202507,9.6
53,楠梓,6,一氧化氮,NO,ppb,202507,1.6
53,楠梓,7,二氧化氮,NO2,ppb,202507,7
53,楠梓,8,總碳氫化物,THC,ppm,202507,2.02
53,楠梓,9,非甲烷碳氫化合物,NMHC,ppm,202507,0.06
53,楠梓,10,風速,WIND_SPEED,m/sec,202507,1.7
53,楠梓,14,溫度,AMB_TEMP,℃,202507,29
53,楠梓,31,甲烷,CH4,ppm,202507,1.95
53,楠梓,33,細懸浮微粒,PM2.5,μg/m3,202507,8.8
53,楠梓,38,相對濕度,RH,%,202507,82
53,楠梓,143,小時風速值,WS_HR,m/sec,202507,1.4
54,左營,1,二氧化硫,SO2,ppb,202507,0.7
54,左營,2,一氧化碳,CO,ppm,202507,0.17
54,左營,3,臭氧,O3,ppb,202507,25
54,左營,4,懸浮微粒,PM10,μg/m3,202507,20
54,左營,5,氮氧化物,NOx,ppb,202507,7
54,左營,6,一氧化氮,NO,ppb,202507,1.2
54,左營,7,二氧化氮,NO2,ppb,202507,5
54,左營,8,總碳氫化物,THC,ppm,202507,1.95
54,左營,9,非甲烷碳氫化合物,NMHC,ppm,202507,0.05
54,左營,10,風速,WIND_SPEED,m/sec,202507,2.3
54,左營,14,溫度,AMB_TEMP,℃,202507,29.4
54,左營,31,甲烷,CH4,ppm,202507,1.89
54,左營,33,細懸浮微粒,PM2.5,μg/m3,202507,8.3
